date,tokens.WETH,tokens.BAT,tokens.SAI,tokens.USDC,tokens.WBTC,tokens.TUSD,tokens.ZRX,tokens.KNCL,tokens.MANA,tokens.USDT,tokens.USDP,tokens.COMP,tokens.LINK,tokens.LRC,tokens.BAL,tokens.YFI,tokens.GUSD,tokens.RENBTC,tokens.UNI,tokens.DAI,tokens.AAVE,tokens.UNKNOWN (0x10b2aA5D77Aa6484886d8e244f0686aB319a270d),tokens.UNKNOWN (0xAAA760c2027817169D7C8DB0DC61A2fb4c19AC23),tokens.MATIC,tokens.WSTETH,tokens.ADAI,tokens.KNC,tokens.STECRV,tokens.WETH-USDC-UNI-V2,tokens.WETH-LINK-UNI-V2,tokens.WETH-AAVE-UNI-V2,tokens.DAI-WBTC-UNI-V2,tokens.USDC-DAI-UNI-V2,tokens.WETH-UNI-UNI-V2,tokens.WETH-DAI-UNI-V2,tokens.WETH-WBTC-UNI-V2,tokens.USDT-WETH-UNI-V2,tokens.RETH,tokens.GNO
1546560000,1865472.1647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1546646400,1854293.51935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1546732800,1830493.76564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1546819200,1824634.71949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1546905600,1817163.87558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1546992000,1806770.2943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547078400,1812469.50833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547164800,1819542.10584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547251200,1817997.16215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547337600,1822023.4454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547424000,1835549.30318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547510400,1872894.61352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547596800,1876705.64548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547683200,1885269.74039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547769600,1879986.44332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547856000,1885917.97413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547942400,1891585.20084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1548028800,1925965.91133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1548115200,1932893.07473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
