date,totalLiquidityUSD
2023-05-11 00:00:00,7115335741.17157
2023-05-12 00:00:00,6995688676.54328
2023-05-13 00:00:00,6954917451.76083
2023-05-14 00:00:00,6936884718.50223
2023-05-15 00:00:00,6918087545.46908
2023-05-16 00:00:00,6941022065.23221
2023-05-17 00:00:00,6941681987.558
2023-05-18 00:00:00,6895742728.70207
2023-05-19 00:00:00,6868132845.78635
2023-05-20 00:00:00,6863769983.70718
2023-05-21 00:00:00,6889054506.91171
2023-05-22 00:00:00,6846333408.43946
2023-05-23 00:00:00,6840534204.30479
2023-05-24 00:00:00,6880725596.37501
2023-05-25 00:00:00,6691266798.6363
2023-05-26 00:00:00,6674769429.7122
2023-05-27 00:00:00,6731165830.77718
2023-05-28 00:00:00,6778451418.23842
2023-05-29 00:00:00,6956810565.60355
2023-05-30 00:00:00,6855197312.08785
2023-05-31 00:00:00,6900015086.80898
2023-06-01 00:00:00,6310441991.84194
2023-06-02 00:00:00,6269144099.5628
2023-06-03 00:00:00,6358458109.72572
2023-06-04 00:00:00,6324405528.35683
2023-06-05 00:00:00,6310273763.07218
2023-06-06 00:00:00,6135249141.41385
2023-06-07 00:00:00,6270551471.3261
2023-06-08 00:00:00,6128399538.33444
2023-06-09 00:00:00,6132700642.65205
2023-06-10 00:00:00,6059963687.69481
2023-06-11 00:00:00,5834096543.23518
2023-06-12 00:00:00,5816446587.91178
2023-06-13 00:00:00,5761756818.65425
2023-06-14 00:00:00,5750475380.41459
2023-06-15 00:00:00,5584025691.80757
2023-06-16 00:00:00,5510976627.8962
2023-06-17 00:00:00,5640270432.57378
2023-06-18 00:00:00,5681099861.28385
2023-06-19 00:00:00,5684212654.78706
2023-06-20 00:00:00,5843039424.65837
2023-06-21 00:00:00,6031376897.46657
2023-06-22 00:00:00,6312796242.09703
2023-06-23 00:00:00,6251932524.76839
2023-06-24 00:00:00,6284782396.83638
2023-06-25 00:00:00,6265222069.09333
2023-06-26 00:00:00,6302695603.62321
2023-06-27 00:00:00,6206713115.88555
2023-06-28 00:00:00,6208539326.00425
2023-06-29 00:00:00,6089823070.69565
2023-06-30 00:00:00,6118031217.07711
