timestamp,tvlUsd,apy,apyBase,apyReward,il7d,apyBase7d
2024-03-11T23:03:16.026Z,40127551638.0,3.586,3.586,,,
2024-12-16T23:01:29.166Z,39661401692.0,2.856,2.856,,,
2024-12-06T23:01:22.174Z,39648039924.0,3.34,3.34,,,
2024-12-07T23:01:18.427Z,39392112943.0,2.894,2.894,,,
2024-12-08T23:02:16.586Z,39300530029.0,2.781,2.781,,,
2024-03-13T23:02:46.856Z,39231372318.0,3.644,3.644,,,
2024-03-12T23:02:00.149Z,38802967969.0,3.677,3.677,,,
2024-03-08T23:17:38.058Z,38509199913.0,3.523,3.523,,,
2024-03-09T23:01:51.517Z,38499907781.0,3.521,3.521,,,
2024-12-13T23:02:20.701Z,38211965632.0,2.898,2.898,,,
2024-03-07T23:02:44.247Z,38177828703.0,3.904,3.904,,,
2024-03-10T23:01:57.433Z,38092100891.0,3.404,3.404,,,
2024-12-04T23:17:21.584Z,38042144489.0,3.145,3.145,,,
2024-12-15T23:01:14.331Z,38024218511.0,2.762,2.762,,,
2024-03-14T23:01:14.644Z,37938616956.0,3.438,3.438,,,
2024-12-14T23:01:48.487Z,37858056582.0,2.797,2.797,,,
2024-12-17T23:01:51.543Z,37834965753.0,2.868,2.868,,,
2024-03-06T23:02:02.912Z,37810693355.0,4.13,4.13,,,
2024-12-12T23:01:23.429Z,37806016613.0,2.925,2.925,,,
2024-12-11T23:01:18.739Z,37667315223.0,3.037,3.037,,,
2024-12-05T23:01:22.802Z,37506409249.0,2.996,2.996,,,
2024-06-05T23:01:17.401Z,36717862224.0,3.258,3.258,,,
2024-12-01T23:01:07.023Z,36647561588.0,2.793,2.793,,,
2024-12-09T23:01:12.164Z,36556593528.0,2.857,2.857,,,
2024-11-30T23:01:17.210Z,36403092741.0,2.804,2.804,,,
2024-06-04T23:01:44.631Z,36265529170.0,3.179,3.179,,,
2024-05-28T23:01:36.115Z,36232785916.0,3.222,3.222,,,
2024-03-15T23:01:25.932Z,36154873244.0,3.691,3.691,,,
2024-06-06T23:01:37.922Z,36146875321.0,3.499,3.499,,,
2024-06-01T23:04:47.544Z,36097095928.0,3.131,3.131,,,
2024-05-27T23:01:31.408Z,36093901178.0,3.103,3.103,,,
2024-12-18T23:01:18.535Z,36005647146.0,2.858,2.858,,,
2024-06-02T23:01:46.083Z,35927306227.0,3.15,3.15,,,
2024-05-31T23:01:44.504Z,35918322227.0,3.275,3.275,,,
2024-11-27T23:02:05.967Z,35903173735.0,2.96,2.96,,,
2024-12-10T23:01:31.176Z,35862802728.0,3.413,3.413,,,
2024-06-03T23:02:09.972Z,35796738203.0,3.266,3.266,,,
2024-05-29T23:01:29.856Z,35742418096.0,3.151,3.151,,,
2024-05-26T23:01:31.444Z,35702895399.0,2.959,2.959,,,
2024-05-30T23:01:36.534Z,35585717621.0,3.237,3.237,,,
2024-03-17T23:01:37.009Z,35562183841.0,3.311,3.311,,,
2024-12-03T23:01:14.476Z,35553300143.0,3.113,3.113,,,
2024-12-02T23:01:28.735Z,35450104491.0,2.946,2.946,,,
2025-01-06T23:03:31.934Z,35437930296.0,2.85,2.85,,,
2024-05-23T23:04:01.403Z,35401832827.0,3.191,3.191,,,
2024-11-29T23:01:54.277Z,35281699273.0,2.807,2.807,,,
2024-06-09T23:01:22.495Z,35269566359.0,3.044,3.044,,,
2025-01-04T23:02:38.146Z,35203568526.0,2.872,2.872,,,
2024-11-28T23:01:19.962Z,35133585056.0,2.909,2.909,,,
2024-04-08T23:01:26.976Z,35126869237.0,3.148,3.148,,,
2024-03-31T23:01:26.995Z,35114644706.0,3.07,3.07,,,
2024-06-07T23:01:32.062Z,35111188709.0,3.372,3.372,,,
2025-01-05T23:01:35.567Z,35068959951.0,2.808,2.808,,,
2024-05-21T23:01:42.697Z,35021996587.0,3.936,3.936,,,
2024-06-08T23:01:33.262Z,34985076582.0,3.319,3.319,,,
2024-05-22T23:01:31.108Z,34959045610.0,3.183,3.183,,,
2024-03-25T23:01:27.024Z,34915326033.0,3.165,3.165,,,
2024-06-10T23:02:06.114Z,34867335185.0,3.242,3.242,,,
2025-01-03T23:02:28.234Z,34840087743.0,2.904,2.904,,,
2024-03-04T16:02:03.661Z,34789324383.0,3.449,3.449,,,
2024-05-25T23:01:27.510Z,34745485827.0,3.022,3.022,,,
2024-05-24T23:02:50.857Z,34713288127.0,4.24,4.24,,,
2024-03-26T23:02:53.724Z,34702003833.0,3.467,3.467,,,
2024-06-16T23:03:19.861Z,34676399878.0,2.956,2.956,,,
2024-07-21T23:02:04.746Z,34657037998.0,2.83,2.83,,,
2024-03-16T23:02:33.047Z,34614117838.0,3.225,3.225,,,
2024-03-28T23:01:13.727Z,34427611674.0,3.186,3.186,,,
2024-03-18T23:01:26.374Z,34388397375.0,3.125,3.125,,,
2024-07-20T23:02:39.986Z,34349451980.0,2.886,2.886,,,
2024-03-20T23:02:48.572Z,34346162385.0,3.415,3.415,,,
2024-07-19T23:02:19.909Z,34329444700.0,3.144,3.144,,,
2024-03-21T23:01:40.009Z,34243203973.0,3.422,3.422,,,
2024-03-05T23:02:41.008Z,34181903127.0,3.836,3.836,,,
2024-05-20T23:01:38.114Z,34170060889.0,2.88,2.88,,,
2024-03-03T23:02:40.560Z,34165505427.0,3.294,3.294,,,
2024-06-19T23:01:56.472Z,34056850368.0,3.005,3.005,,,
2024-07-23T23:04:41.329Z,34011347816.0,2.994,2.994,,,
2024-06-12T23:01:24.244Z,33937043617.0,3.263,3.263,,,
2024-06-15T23:01:28.039Z,33920186365.0,3.126,3.126,,,
2024-03-30T23:01:20.490Z,33907787038.0,3.119,3.119,,,
2024-03-27T23:01:17.239Z,33885814744.0,3.255,3.255,,,
2024-07-22T23:01:49.969Z,33863421471.0,3.118,3.118,,,
2024-12-20T23:01:15.529Z,33783903759.0,3.278,3.278,,,
2024-12-24T23:01:54.380Z,33759610053.0,2.824,2.824,,,
2024-03-01T23:01:59.605Z,33744163658.0,3.336,3.336,,,
2024-07-15T23:03:17.751Z,33708952986.0,2.916,2.916,,,
2024-12-19T23:01:23.179Z,33702040259.0,2.97,2.97,,,
2024-06-20T23:01:10.179Z,33694429852.0,3.096,3.096,,,
2024-03-29T23:01:47.959Z,33672616598.0,3.299,3.299,,,
2024-04-01T23:01:43.524Z,33670763638.0,3.127,3.127,,,
2024-06-17T23:01:37.273Z,33655561943.0,2.945,2.945,,,
2024-06-22T23:02:40.442Z,33641774470.0,2.88,2.88,,,
2024-11-25T23:02:24.654Z,33637513072.0,2.905,2.905,,,
2024-06-21T23:01:36.495Z,33631149101.0,2.989,2.989,,,
2024-07-01T23:01:27.017Z,33592760514.0,2.997,2.997,,,
2024-07-16T23:02:43.315Z,33545418897.0,3.067,3.067,,,
2024-03-02T23:02:03.182Z,33521374470.0,3.49,3.49,,,
2024-12-25T23:01:48.537Z,33508349138.0,2.743,2.743,,,
2024-03-24T23:01:17.997Z,33454878812.0,3.015,3.015,,,
2025-01-17T23:01:53.218Z,33453282301.0,2.892,2.892,,,
2024-11-23T23:01:12.214Z,33394590359.0,2.978,2.978,,,
2024-06-27T23:01:17.315Z,33385636816.0,2.979,2.979,,,
2024-12-23T23:01:24.255Z,33370048723.0,2.861,2.861,,,
2024-07-18T23:02:29.117Z,33315420925.0,3.337,3.337,,,
2024-04-09T23:01:50.895Z,33276151304.0,3.22,3.22,,,
2024-07-17T23:01:28.404Z,33267405570.0,3.141,3.141,,,
2024-06-14T23:01:34.011Z,33233388091.0,3.073,3.073,,,
2024-07-02T23:02:41.124Z,33207938753.0,2.975,2.975,,,
2024-06-11T23:01:27.786Z,33191496875.0,3.577,3.577,,,
2025-01-02T23:01:17.344Z,33172489450.0,2.991,2.991,,,
2024-06-30T23:01:30.935Z,33153014476.0,2.788,2.788,,,
2024-06-18T23:01:31.334Z,33087509211.0,3.203,3.203,,,
2024-11-21T23:01:31.523Z,33070140729.0,2.985,2.985,,,
2024-04-10T23:01:04.832Z,33065845586.0,3.36,3.36,,,
2024-06-13T23:01:47.592Z,33064632708.0,3.674,3.674,,,
2024-03-23T23:01:16.860Z,32991205180.0,3.345,3.345,,,
2024-04-11T23:01:29.505Z,32973417956.0,3.45,3.45,,,
2024-12-28T23:01:41.129Z,32950731845.0,2.762,2.762,,,
2024-06-23T23:01:39.599Z,32931721024.0,2.947,2.947,,,
2024-06-25T23:17:21.947Z,32929269169.0,3.044,3.044,,,
2025-01-15T23:17:25.916Z,32902268917.0,2.857,2.857,,,
2024-06-29T23:01:17.990Z,32852223529.0,2.822,2.822,,,
2024-11-24T23:01:18.803Z,32849261119.0,3.01,3.01,,,
2024-06-28T23:03:13.285Z,32815057609.0,3.133,3.133,,,
2024-02-29T23:01:28.057Z,32738825734.0,3.7,3.7,,,
2024-07-29T23:01:57.078Z,32731678257.0,2.811,2.811,,,
2024-07-24T23:01:59.643Z,32727809648.0,2.951,2.951,,,
2024-02-28T23:03:14.465Z,32724017868.0,3.426,3.426,,,
2025-01-07T23:03:01.764Z,32668055293.0,2.926,2.926,,,
2024-11-26T23:01:15.926Z,32623884592.0,2.996,2.996,,,
2024-06-26T23:01:34.382Z,32610176370.0,2.966,2.966,,,
2024-11-11T23:01:44.733Z,32597301109.0,3.057,3.057,,,
2024-04-07T23:03:54.626Z,32443916249.0,3.041,3.041,,,
2024-12-21T23:01:13.667Z,32438677834.0,2.926,2.926,,,
2024-11-22T23:01:26.467Z,32432798258.0,3.044,3.044,,,
2025-01-01T23:04:38.217Z,32398716256.0,2.849,2.849,,,
2024-12-30T23:01:35.769Z,32316292712.0,2.753,2.753,,,
2024-07-27T23:02:00.957Z,32273494149.0,2.812,2.812,,,
2024-12-26T23:01:42.458Z,32266644788.0,2.752,2.752,,,
2024-06-24T23:02:36.211Z,32245121469.0,3.007,3.007,,,
2024-12-31T23:02:31.340Z,32219799673.0,2.963,2.963,,,
2024-07-30T23:03:40.015Z,32188713549.0,2.913,2.913,,,
2024-07-26T23:03:22.867Z,32184436314.0,2.933,2.933,,,
2024-07-03T23:02:41.378Z,32155306107.0,3.04,3.04,,,
2024-12-29T23:01:32.647Z,32132479266.0,2.743,2.743,,,
2024-12-27T23:01:23.861Z,32111611770.0,2.821,2.821,,,
2024-03-22T23:01:22.428Z,32076695829.0,3.219,3.219,,,
2024-11-12T23:01:31.624Z,31966821903.0,3.47,3.47,,,
2024-07-28T23:03:09.209Z,31966780834.0,3.023,3.023,,,
2025-01-25T23:01:17.604Z,31914833616.0,2.803,2.803,,,
